customer_id,store_id,first_name,last_name,email,address_id,activebool,create_date,last_update,active,initials
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.S.
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,P.J.
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,L.W.
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,B.J.
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,E.B.
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.D.
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.M.
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,S.W.
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.M.
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,D.T.
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,L.A.
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,N.T.
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,K.J.
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,B.W.
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,H.H.
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,0,S.M.
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,D.T.
18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.G.
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,R.M.
20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,S.R.
21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.C.
22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,26,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,L.R.
23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,27,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,S.L.
24,2,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,28,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,K.L.
25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,D.W.
26,2,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,30,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.H.
27,2,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,S.A.
28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.Y.
29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,33,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,A.H.
30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.K.
31,2,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,35,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,B.W.
32,1,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,36,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,A.L.
33,2,ANNA,HILL,ANNA.HILL@sakilacustomer.org,37,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,A.H.
34,2,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,38,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,R.S.
35,2,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,39,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,V.G.
36,2,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,40,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,K.A.
37,1,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,41,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,P.B.
38,1,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.G.
39,1,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,43,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,D.N.
40,2,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,44,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,A.C.
41,1,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,45,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,S.M.
42,2,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,46,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.P.
43,2,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,47,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.R.
44,1,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,48,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.T.
45,1,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,49,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.P.
46,2,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,50,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.C.
47,1,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,F.P.
48,1,ANN,EVANS,ANN.EVANS@sakilacustomer.org,52,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,A.E.
49,2,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,53,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.E.
50,1,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,D.C.
51,1,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,A.S.
52,1,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,56,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.S.
53,1,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,57,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,H.M.
54,1,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,58,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,T.R.
55,2,DORIS,REED,DORIS.REED@sakilacustomer.org,59,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,D.R.
56,1,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,60,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,G.C.
57,2,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,61,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,E.M.
58,1,JEAN,BELL,JEAN.BELL@sakilacustomer.org,62,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.B.
59,1,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,63,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.M.
60,1,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,64,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,M.B.
61,2,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,65,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,K.R.
62,1,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,66,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.C.
63,1,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,67,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,A.R.
64,2,JUDITH,COX,JUDITH.COX@sakilacustomer.org,68,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,0,J.C.
65,2,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,69,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,R.H.
66,2,JANICE,WARD,JANICE.WARD@sakilacustomer.org,70,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.W.
67,1,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,71,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,K.T.
68,1,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,72,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,N.P.
69,2,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,73,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,J.G.
70,2,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,74,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,C.R.
71,1,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,75,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,K.J.
72,2,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,76,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,T.W.
73,2,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,77,True,2020-02-14,2025-04-06 13:10:18.372650+00:00,1,B.B.
